instant,dteday,season,year,month,hour,holiday,day_of_week,workingday,weather_condition,temp,atemp,humidity,wind_speed,casual,registered,total_count,day_category,humidity_category
55,2011-01-03,Spring,2011,Jan,9,0,Monday,1,Clear,0.16,0.1364,43.0,0.3881,7,81,88,weekday,Too Dry
56,2011-01-03,Spring,2011,Jan,10,0,Monday,1,Clear,0.18,0.1667,43.0,0.2537,11,33,44,weekday,Too Dry
57,2011-01-03,Spring,2011,Jan,11,0,Monday,1,Clear,0.2,0.1818,40.0,0.3284,10,41,51,weekday,Too Dry
58,2011-01-03,Spring,2011,Jan,12,0,Monday,1,Clear,0.22,0.2121,35.0,0.2985,13,48,61,weekday,Too Dry
59,2011-01-03,Spring,2011,Jan,13,0,Monday,1,Clear,0.24,0.2121,35.0,0.2836,8,53,61,weekday,Too Dry
60,2011-01-03,Spring,2011,Jan,14,0,Monday,1,Clear,0.26,0.2424,30.0,0.2836,11,66,77,weekday,Too Dry
61,2011-01-03,Spring,2011,Jan,15,0,Monday,1,Clear,0.26,0.2424,30.0,0.2537,14,58,72,weekday,Too Dry
62,2011-01-03,Spring,2011,Jan,16,0,Monday,1,Clear,0.26,0.2424,30.0,0.2537,9,67,76,weekday,Too Dry
63,2011-01-03,Spring,2011,Jan,17,0,Monday,1,Clear,0.24,0.2273,30.0,0.2239,11,146,157,weekday,Too Dry
64,2011-01-03,Spring,2011,Jan,18,0,Monday,1,Clear,0.24,0.2576,32.0,0.1045,9,148,157,weekday,Too Dry
65,2011-01-03,Spring,2011,Jan,19,0,Monday,1,Clear,0.2,0.2576,47.0,0.0,8,102,110,weekday,Ideal
66,2011-01-03,Spring,2011,Jan,20,0,Monday,1,Clear,0.2,0.2273,47.0,0.1045,3,49,52,weekday,Ideal
67,2011-01-03,Spring,2011,Jan,21,0,Monday,1,Clear,0.18,0.197,64.0,0.1343,3,49,52,weekday,Ideal
68,2011-01-03,Spring,2011,Jan,22,0,Monday,1,Clear,0.14,0.1515,69.0,0.1343,0,20,20,weekday,Too Humid
69,2011-01-03,Spring,2011,Jan,23,0,Monday,1,Clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,weekday,Ideal
70,2011-01-04,Spring,2011,Jan,0,0,Tuesday,1,Clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,weekday,Ideal
71,2011-01-04,Spring,2011,Jan,1,0,Tuesday,1,Clear,0.16,0.1818,59.0,0.1045,0,2,2,weekday,Ideal
72,2011-01-04,Spring,2011,Jan,2,0,Tuesday,1,Clear,0.14,0.1515,63.0,0.1343,0,1,1,weekday,Ideal
73,2011-01-04,Spring,2011,Jan,4,0,Tuesday,1,Clear,0.14,0.1818,63.0,0.0896,0,2,2,weekday,Ideal
74,2011-01-04,Spring,2011,Jan,5,0,Tuesday,1,Clear,0.12,0.1515,68.0,0.1045,0,4,4,weekday,Too Humid
75,2011-01-04,Spring,2011,Jan,6,0,Tuesday,1,Clear,0.12,0.1515,74.0,0.1045,0,36,36,weekday,Too Humid
76,2011-01-04,Spring,2011,Jan,7,0,Tuesday,1,Clear,0.12,0.1515,74.0,0.1343,2,92,94,weekday,Too Humid
77,2011-01-04,Spring,2011,Jan,8,0,Tuesday,1,Clear,0.14,0.1515,69.0,0.1642,2,177,179,weekday,Too Humid
78,2011-01-04,Spring,2011,Jan,9,0,Tuesday,1,Clear,0.16,0.1515,64.0,0.2239,2,98,100,weekday,Ideal
79,2011-01-04,Spring,2011,Jan,10,0,Tuesday,1,Misty,0.16,0.1364,69.0,0.3284,5,37,42,weekday,Too Humid
80,2011-01-04,Spring,2011,Jan,11,0,Tuesday,1,Clear,0.22,0.2121,51.0,0.2985,7,50,57,weekday,Ideal
81,2011-01-04,Spring,2011,Jan,12,0,Tuesday,1,Clear,0.22,0.2273,51.0,0.1642,12,66,78,weekday,Ideal
82,2011-01-04,Spring,2011,Jan,13,0,Tuesday,1,Clear,0.24,0.2273,56.00000000000001,0.194,18,79,97,weekday,Ideal
83,2011-01-04,Spring,2011,Jan,14,0,Tuesday,1,Clear,0.26,0.2576,52.0,0.2239,9,54,63,weekday,Ideal
84,2011-01-04,Spring,2011,Jan,15,0,Tuesday,1,Clear,0.28,0.2727,52.0,0.2537,17,48,65,weekday,Ideal
85,2011-01-04,Spring,2011,Jan,16,0,Tuesday,1,Clear,0.3,0.2879,49.0,0.2537,15,68,83,weekday,Ideal
86,2011-01-04,Spring,2011,Jan,17,0,Tuesday,1,Clear,0.28,0.2727,48.0,0.2239,10,202,212,weekday,Ideal
87,2011-01-04,Spring,2011,Jan,18,0,Tuesday,1,Clear,0.26,0.2576,48.0,0.194,3,179,182,weekday,Ideal
88,2011-01-04,Spring,2011,Jan,19,0,Tuesday,1,Clear,0.24,0.2576,48.0,0.1045,2,110,112,weekday,Ideal
89,2011-01-04,Spring,2011,Jan,20,0,Tuesday,1,Clear,0.24,0.2576,48.0,0.1045,1,53,54,weekday,Ideal
90,2011-01-04,Spring,2011,Jan,21,0,Tuesday,1,Clear,0.22,0.2727,64.0,0.0,0,48,48,weekday,Ideal
91,2011-01-04,Spring,2011,Jan,22,0,Tuesday,1,Clear,0.22,0.2576,64.0,0.0896,1,34,35,weekday,Ideal
92,2011-01-04,Spring,2011,Jan,23,0,Tuesday,1,Clear,0.2,0.2273,69.0,0.0896,2,9,11,weekday,Too Humid
93,2011-01-05,Spring,2011,Jan,0,0,Wednesday,1,Clear,0.2,0.2576,64.0,0.0,0,6,6,weekday,Ideal
94,2011-01-05,Spring,2011,Jan,1,0,Wednesday,1,Clear,0.16,0.197,74.0,0.0896,0,6,6,weekday,Too Humid
95,2011-01-05,Spring,2011,Jan,2,0,Wednesday,1,Clear,0.16,0.197,74.0,0.0896,0,2,2,weekday,Too Humid
96,2011-01-05,Spring,2011,Jan,4,0,Wednesday,1,Clear,0.24,0.2273,48.0,0.2239,0,2,2,weekday,Ideal
97,2011-01-05,Spring,2011,Jan,5,0,Wednesday,1,Clear,0.22,0.2273,47.0,0.1642,0,3,3,weekday,Ideal
98,2011-01-05,Spring,2011,Jan,6,0,Wednesday,1,Clear,0.2,0.197,47.0,0.2239,0,33,33,weekday,Ideal
99,2011-01-05,Spring,2011,Jan,7,0,Wednesday,1,Clear,0.18,0.1818,43.0,0.194,1,87,88,weekday,Too Dry
100,2011-01-05,Spring,2011,Jan,8,0,Wednesday,1,Clear,0.2,0.1818,40.0,0.2985,3,192,195,weekday,Too Dry
101,2011-01-05,Spring,2011,Jan,9,0,Wednesday,1,Clear,0.22,0.197,37.0,0.3284,6,109,115,weekday,Too Dry
102,2011-01-05,Spring,2011,Jan,10,0,Wednesday,1,Clear,0.22,0.197,37.0,0.3284,4,53,57,weekday,Too Dry
103,2011-01-05,Spring,2011,Jan,11,0,Wednesday,1,Clear,0.26,0.2273,33.0,0.3284,12,34,46,weekday,Too Dry
104,2011-01-05,Spring,2011,Jan,12,0,Wednesday,1,Clear,0.26,0.2273,33.0,0.3284,5,74,79,weekday,Too Dry
105,2011-01-05,Spring,2011,Jan,13,0,Wednesday,1,Clear,0.28,0.2576,30.0,0.2985,6,65,71,weekday,Too Dry
106,2011-01-05,Spring,2011,Jan,14,0,Wednesday,1,Clear,0.3,0.2879,28.000000000000004,0.194,10,52,62,weekday,Too Dry
107,2011-01-05,Spring,2011,Jan,15,0,Wednesday,1,Clear,0.3,0.2879,28.000000000000004,0.194,7,55,62,weekday,Too Dry
108,2011-01-05,Spring,2011,Jan,16,0,Wednesday,1,Clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,weekday,Too Dry
109,2011-01-05,Spring,2011,Jan,17,0,Wednesday,1,Clear,0.24,0.2273,38.0,0.194,4,186,190,weekday,Too Dry
110,2011-01-05,Spring,2011,Jan,18,0,Wednesday,1,Clear,0.24,0.2424,38.0,0.1343,3,166,169,weekday,Too Dry
111,2011-01-05,Spring,2011,Jan,19,0,Wednesday,1,Clear,0.24,0.2576,38.0,0.1045,5,127,132,weekday,Too Dry
112,2011-01-05,Spring,2011,Jan,20,0,Wednesday,1,Clear,0.22,0.2273,47.0,0.1642,7,82,89,weekday,Ideal
113,2011-01-05,Spring,2011,Jan,21,0,Wednesday,1,Clear,0.2,0.197,51.0,0.194,3,40,43,weekday,Ideal
114,2011-01-05,Spring,2011,Jan,22,0,Wednesday,1,Clear,0.18,0.197,55.00000000000001,0.1343,1,41,42,weekday,Ideal
115,2011-01-05,Spring,2011,Jan,23,0,Wednesday,1,Clear,0.2,0.2576,47.0,0.0,1,18,19,weekday,Ideal
116,2011-01-06,Spring,2011,Jan,0,0,Thursday,1,Clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,weekday,Ideal
117,2011-01-06,Spring,2011,Jan,1,0,Thursday,1,Clear,0.16,0.2273,64.0,0.0,0,4,4,weekday,Ideal
118,2011-01-06,Spring,2011,Jan,2,0,Thursday,1,Clear,0.16,0.2273,64.0,0.0,0,2,2,weekday,Ideal
119,2011-01-06,Spring,2011,Jan,4,0,Thursday,1,Misty,0.16,0.197,64.0,0.0896,0,1,1,weekday,Ideal
120,2011-01-06,Spring,2011,Jan,5,0,Thursday,1,Misty,0.14,0.1818,69.0,0.0896,0,4,4,weekday,Too Humid
121,2011-01-06,Spring,2011,Jan,6,0,Thursday,1,Misty,0.14,0.1667,63.0,0.1045,0,36,36,weekday,Ideal
122,2011-01-06,Spring,2011,Jan,7,0,Thursday,1,Misty,0.16,0.2273,59.0,0.0,0,95,95,weekday,Ideal
123,2011-01-06,Spring,2011,Jan,8,0,Thursday,1,Clear,0.16,0.2273,59.0,0.0,3,216,219,weekday,Ideal
124,2011-01-06,Spring,2011,Jan,9,0,Thursday,1,Misty,0.18,0.2424,51.0,0.0,6,116,122,weekday,Ideal
125,2011-01-06,Spring,2011,Jan,10,0,Thursday,1,Clear,0.2,0.2576,47.0,0.0,3,42,45,weekday,Ideal
126,2011-01-06,Spring,2011,Jan,11,0,Thursday,1,Clear,0.22,0.2576,44.0,0.0896,2,57,59,weekday,Too Dry
127,2011-01-06,Spring,2011,Jan,12,0,Thursday,1,Clear,0.26,0.2879,35.0,0.0,6,78,84,weekday,Too Dry
128,2011-01-06,Spring,2011,Jan,13,0,Thursday,1,Clear,0.26,0.2727,35.0,0.1045,12,55,67,weekday,Too Dry
129,2011-01-06,Spring,2011,Jan,14,0,Thursday,1,Clear,0.28,0.2727,36.0,0.1642,11,59,70,weekday,Too Dry
130,2011-01-06,Spring,2011,Jan,15,0,Thursday,1,Clear,0.28,0.2727,36.0,0.0,8,54,62,weekday,Too Dry
131,2011-01-06,Spring,2011,Jan,16,0,Thursday,1,Clear,0.26,0.2576,38.0,0.1642,12,74,86,weekday,Too Dry
132,2011-01-06,Spring,2011,Jan,17,0,Thursday,1,Clear,0.22,0.2273,51.0,0.1642,9,163,172,weekday,Ideal
133,2011-01-06,Spring,2011,Jan,18,0,Thursday,1,Clear,0.22,0.2273,51.0,0.1343,5,158,163,weekday,Ideal
134,2011-01-06,Spring,2011,Jan,19,0,Thursday,1,Clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,weekday,Ideal
135,2011-01-06,Spring,2011,Jan,20,0,Thursday,1,Clear,0.2,0.2121,51.0,0.1642,3,66,69,weekday,Ideal
136,2011-01-06,Spring,2011,Jan,21,0,Thursday,1,Misty,0.22,0.2121,55.00000000000001,0.2239,0,48,48,weekday,Ideal
137,2011-01-06,Spring,2011,Jan,22,0,Thursday,1,Misty,0.22,0.2121,51.0,0.2836,1,51,52,weekday,Ideal
138,2011-01-06,Spring,2011,Jan,23,0,Thursday,1,Misty,0.2,0.197,59.0,0.194,4,19,23,weekday,Ideal
139,2011-01-07,Spring,2011,Jan,0,0,Friday,1,Misty,0.2,0.197,64.0,0.194,4,13,17,weekday,Ideal
140,2011-01-07,Spring,2011,Jan,1,0,Friday,1,Misty,0.2,0.197,69.0,0.2239,2,5,7,weekday,Too Humid
141,2011-01-07,Spring,2011,Jan,2,0,Friday,1,Misty,0.2,0.197,69.0,0.2239,0,1,1,weekday,Too Humid
142,2011-01-07,Spring,2011,Jan,4,0,Friday,1,Misty,0.2,0.2121,69.0,0.1343,0,1,1,weekday,Too Humid
143,2011-01-07,Spring,2011,Jan,5,0,Friday,1,Light_Rain_Snow,0.22,0.2727,55.00000000000001,0.0,0,5,5,weekday,Ideal
144,2011-01-07,Spring,2011,Jan,6,0,Friday,1,Misty,0.2,0.2576,69.0,0.0,8,26,34,weekday,Too Humid
145,2011-01-07,Spring,2011,Jan,7,0,Friday,1,Clear,0.2,0.2121,69.0,0.1343,8,76,84,weekday,Too Humid
146,2011-01-07,Spring,2011,Jan,8,0,Friday,1,Clear,0.2,0.197,51.0,0.2537,20,190,210,weekday,Ideal
147,2011-01-07,Spring,2011,Jan,9,0,Friday,1,Clear,0.2,0.1818,47.0,0.2985,9,125,134,weekday,Ideal
148,2011-01-07,Spring,2011,Jan,10,0,Friday,1,Clear,0.22,0.197,37.0,0.3284,16,47,63,weekday,Too Dry
149,2011-01-07,Spring,2011,Jan,11,0,Friday,1,Misty,0.2,0.197,40.0,0.2239,19,48,67,weekday,Too Dry
150,2011-01-07,Spring,2011,Jan,12,0,Friday,1,Misty,0.2,0.197,37.0,0.2537,9,50,59,weekday,Too Dry
151,2011-01-07,Spring,2011,Jan,13,0,Friday,1,Misty,0.2,0.1818,37.0,0.2836,9,64,73,weekday,Too Dry
152,2011-01-07,Spring,2011,Jan,14,0,Friday,1,Misty,0.2,0.197,40.0,0.2537,7,43,50,weekday,Too Dry
153,2011-01-07,Spring,2011,Jan,15,0,Friday,1,Misty,0.2,0.2121,37.0,0.1642,9,63,72,weekday,Too Dry
154,2011-01-07,Spring,2011,Jan,16,0,Friday,1,Misty,0.2,0.2121,37.0,0.1642,5,82,87,weekday,Too Dry
155,2011-01-07,Spring,2011,Jan,17,0,Friday,1,Misty,0.2,0.2576,37.0,0.0,9,178,187,weekday,Too Dry
156,2011-01-07,Spring,2011,Jan,18,0,Friday,1,Clear,0.2,0.2273,40.0,0.0896,7,116,123,weekday,Too Dry
157,2011-01-07,Spring,2011,Jan,19,0,Friday,1,Clear,0.16,0.197,55.00000000000001,0.0896,3,92,95,weekday,Ideal
158,2011-01-07,Spring,2011,Jan,20,0,Friday,1,Clear,0.18,0.2121,47.0,0.1045,1,50,51,weekday,Ideal
159,2011-01-07,Spring,2011,Jan,21,0,Friday,1,Clear,0.18,0.197,47.0,0.1343,0,39,39,weekday,Ideal
160,2011-01-07,Spring,2011,Jan,22,0,Friday,1,Misty,0.18,0.197,43.0,0.1642,2,34,36,weekday,Too Dry
161,2011-01-07,Spring,2011,Jan,23,0,Friday,1,Misty,0.18,0.197,51.0,0.1642,1,14,15,weekday,Ideal
162,2011-01-08,Spring,2011,Jan,0,0,Saturday,0,Misty,0.18,0.197,51.0,0.1642,1,24,25,weekend,Ideal
163,2011-01-08,Spring,2011,Jan,1,0,Saturday,0,Misty,0.18,0.2121,55.00000000000001,0.0896,1,15,16,weekend,Ideal
164,2011-01-08,Spring,2011,Jan,2,0,Saturday,0,Misty,0.18,0.2424,55.00000000000001,0.0,3,13,16,weekend,Ideal
165,2011-01-08,Spring,2011,Jan,3,0,Saturday,0,Light_Rain_Snow,0.18,0.197,55.00000000000001,0.1642,0,7,7,weekend,Ideal
166,2011-01-08,Spring,2011,Jan,4,0,Saturday,0,Light_Rain_Snow,0.18,0.197,55.00000000000001,0.1642,0,1,1,weekend,Ideal
167,2011-01-08,Spring,2011,Jan,5,0,Saturday,0,Misty,0.16,0.1667,74.0,0.1642,0,5,5,weekend,Too Humid
168,2011-01-08,Spring,2011,Jan,6,0,Saturday,0,Misty,0.16,0.1667,74.0,0.1642,0,2,2,weekend,Too Humid
169,2011-01-08,Spring,2011,Jan,7,0,Saturday,0,Misty,0.16,0.1818,74.0,0.1045,1,8,9,weekend,Too Humid
170,2011-01-08,Spring,2011,Jan,8,0,Saturday,0,Light_Rain_Snow,0.16,0.1818,93.0,0.1045,0,15,15,weekend,Too Humid
171,2011-01-08,Spring,2011,Jan,9,0,Saturday,0,Light_Rain_Snow,0.16,0.1818,93.0,0.1045,0,20,20,weekend,Too Humid
172,2011-01-08,Spring,2011,Jan,10,0,Saturday,0,Misty,0.18,0.197,80.0,0.1642,5,56,61,weekend,Too Humid
173,2011-01-08,Spring,2011,Jan,11,0,Saturday,0,Misty,0.2,0.1818,69.0,0.3881,2,60,62,weekend,Too Humid
174,2011-01-08,Spring,2011,Jan,12,0,Saturday,0,Misty,0.2,0.1818,59.0,0.3582,8,90,98,weekend,Ideal
175,2011-01-08,Spring,2011,Jan,13,0,Saturday,0,Clear,0.2,0.1818,44.0,0.3284,7,95,102,weekend,Too Dry
176,2011-01-08,Spring,2011,Jan,14,0,Saturday,0,Clear,0.2,0.1667,32.0,0.4925,12,83,95,weekend,Too Dry
177,2011-01-08,Spring,2011,Jan,15,0,Saturday,0,Clear,0.2,0.1667,32.0,0.4478,5,69,74,weekend,Too Dry
178,2011-01-08,Spring,2011,Jan,16,0,Saturday,0,Clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,weekend,Too Dry
179,2011-01-08,Spring,2011,Jan,17,0,Saturday,0,Clear,0.16,0.1212,37.0,0.5522,5,64,69,weekend,Too Dry
180,2011-01-08,Spring,2011,Jan,18,0,Saturday,0,Clear,0.14,0.1212,39.0,0.2985,3,52,55,weekend,Too Dry
181,2011-01-08,Spring,2011,Jan,19,0,Saturday,0,Clear,0.14,0.1212,36.0,0.2537,4,26,30,weekend,Too Dry
182,2011-01-08,Spring,2011,Jan,20,0,Saturday,0,Clear,0.12,0.1212,36.0,0.2537,0,28,28,weekend,Too Dry
183,2011-01-08,Spring,2011,Jan,21,0,Saturday,0,Clear,0.12,0.1061,39.0,0.3582,2,35,37,weekend,Too Dry
184,2011-01-08,Spring,2011,Jan,22,0,Saturday,0,Clear,0.12,0.1061,36.0,0.3881,1,33,34,weekend,Too Dry
185,2011-01-08,Spring,2011,Jan,23,0,Saturday,0,Clear,0.1,0.0606,39.0,0.4478,0,22,22,weekend,Too Dry
186,2011-01-09,Spring,2011,Jan,0,0,Sunday,0,Clear,0.1,0.0758,42.0,0.3881,1,24,25,weekend,Too Dry
187,2011-01-09,Spring,2011,Jan,1,0,Sunday,0,Clear,0.1,0.0606,42.0,0.4627,0,12,12,weekend,Too Dry
188,2011-01-09,Spring,2011,Jan,2,0,Sunday,0,Clear,0.1,0.0606,46.0,0.4627,0,11,11,weekend,Ideal
189,2011-01-09,Spring,2011,Jan,3,0,Sunday,0,Clear,0.1,0.0758,46.0,0.4179,0,4,4,weekend,Ideal
190,2011-01-09,Spring,2011,Jan,4,0,Sunday,0,Clear,0.08,0.0909,53.0,0.194,0,1,1,weekend,Ideal
191,2011-01-09,Spring,2011,Jan,5,0,Sunday,0,Clear,0.08,0.0909,53.0,0.194,0,1,1,weekend,Ideal
192,2011-01-09,Spring,2011,Jan,6,0,Sunday,0,Clear,0.1,0.0909,49.0,0.2836,0,1,1,weekend,Ideal
193,2011-01-09,Spring,2011,Jan,7,0,Sunday,0,Clear,0.08,0.0909,53.0,0.194,1,5,6,weekend,Ideal
194,2011-01-09,Spring,2011,Jan,8,0,Sunday,0,Clear,0.1,0.0909,49.0,0.2836,0,10,10,weekend,Ideal
195,2011-01-09,Spring,2011,Jan,9,0,Sunday,0,Clear,0.12,0.0758,46.0,0.5224,0,19,19,weekend,Ideal
196,2011-01-09,Spring,2011,Jan,10,0,Sunday,0,Clear,0.14,0.1061,43.0,0.3881,0,49,49,weekend,Too Dry
197,2011-01-09,Spring,2011,Jan,11,0,Sunday,0,Clear,0.16,0.1212,40.0,0.5224,2,47,49,weekend,Too Dry
198,2011-01-09,Spring,2011,Jan,12,0,Sunday,0,Clear,0.18,0.1364,37.0,0.4478,4,79,83,weekend,Too Dry
199,2011-01-09,Spring,2011,Jan,13,0,Sunday,0,Clear,0.2,0.1667,34.0,0.4478,6,69,75,weekend,Too Dry
200,2011-01-09,Spring,2011,Jan,14,0,Sunday,0,Clear,0.22,0.1818,32.0,0.4627,8,64,72,weekend,Too Dry
